UserID,Age,Gender,Height_cm,Weight_kg,Chest_cm,Waist_cm,Hip_cm,ShoulderWidth_cm,ArmLength_cm,LegLength_cm,PostureScore,ActivityLevel,StylePreference,ColorPreference,FitScore,SatisfactionScore,RecommendedSize,RecommendedStyle
1,56,Male,192,95,114,87,122,43,54,106,0.48675104835231553,Low,Traditional,Blue,0.13471573086972577,0.9450374653636044,M,Traditional
2,46,Other,199,83,74,64,96,36,71,89,0.7023249794197068,Low,Casual,Black,0.1509159827135298,0.04827188695798146,XL,Casual
3,32,Male,172,84,100,118,96,59,61,108,0.8519692535558417,Medium,Sporty,Black,0.7926774877946268,0.0010222995944479951,S,Sporty
4,25,Female,193,82,122,64,135,52,51,93,0.3566089128743861,Low,Traditional,Blue,0.8875624584126831,0.6001819443143256,XL,Traditional
5,38,Other,187,104,110,110,115,43,54,89,0.2613973165603949,High,Formal,White,0.28301696588376957,0.28406046207971525,S,Formal
6,56,Other,169,103,126,80,100,40,56,70,0.9465985727783387,High,Casual,Red,0.4379639639625684,0.880548342338957,XS,Casual
7,36,Other,172,54,126,71,87,45,75,70,0.726303500368818,Medium,Sporty,Black,0.35499504103835355,0.327250307905817,XL,Sporty
8,40,Other,194,108,129,109,84,59,75,86,0.21968213337582632,High,Formal,Blue,0.0725470129866519,0.2897376005288893,L,Formal
9,28,Female,165,107,123,63,105,40,73,70,0.4490833926761134,Low,Casual,Green,0.6732042460158094,0.2695106212182973,XXL,Casual
10,28,Other,199,93,75,113,95,40,61,99,0.7964517695378094,Low,Casual,Blue,0.8251929348056901,0.1448528272682441,L,Casual
11,41,Other,191,108,106,108,115,47,65,72,0.5470629909184421,Low,Traditional,White,0.3048793573912071,0.5815304742771106,L,Traditional
12,53,Male,157,76,126,101,107,45,72,80,0.6499520981658891,Low,Sporty,Red,0.9901757936307183,0.16821360233421,L,Sporty
13,57,Other,199,51,79,79,133,48,57,93,0.7537682020450523,Medium,Formal,White,0.07585155728235493,0.42463115979029087,XXL,Formal
14,41,Female,170,65,109,97,108,36,79,91,0.6220091888089806,High,Casual,Green,0.6617907138145209,0.46097205225564886,L,Casual
15,20,Female,150,64,76,84,126,42,77,95,0.5400793219221958,High,Traditional,Green,0.44822801452608896,0.020492046877974457,S,Traditional
16,39,Female,157,70,108,73,91,37,58,82,0.7496142843877734,Low,Formal,Green,0.4466019011066559,0.016807279821142496,XL,Formal
17,19,Female,178,112,107,70,116,57,64,70,0.7275630354322007,Medium,Formal,Green,0.45764561603354026,0.5202126887568292,XS,Formal
18,41,Other,181,59,90,91,109,55,54,93,0.6298724001831789,Low,Casual,Blue,0.2586817738014284,0.6960347322291323,L,Casual
19,47,Other,187,58,89,70,102,37,62,79,0.3597894133819296,Low,Formal,Green,0.7155628273322324,0.9421424822804046,L,Formal
20,55,Female,154,71,72,77,95,35,54,104,0.4058120922002716,Medium,Casual,Green,0.7215765260850269,0.1791192841569551,XS,Casual
21,19,Female,196,84,120,86,93,58,60,93,0.9704385488840974,Medium,Traditional,Blue,0.282397110105827,0.10325880943608257,XS,Traditional
22,38,Other,171,102,91,114,89,53,59,97,0.11238593229152583,Low,Traditional,Green,0.8353064608584502,0.05208790692715093,L,Traditional
23,50,Female,196,72,116,113,86,52,69,105,0.2685049172528353,High,Formal,White,0.31684494365033,0.43604158291295025,S,Formal
24,29,Male,183,70,73,77,124,51,62,85,0.4924017592043357,Low,Casual,White,0.7250931239865422,0.6231473673359569,XS,Casual
25,39,Female,150,107,97,115,131,54,58,109,0.8367296861437858,High,Sporty,Black,0.12099976751206643,0.8405533567512642,XL,Sporty
26,42,Female,175,110,81,82,139,58,70,85,0.16367566372972786,High,Traditional,White,0.16870164280374567,0.6826448822931314,XL,Traditional
27,44,Male,192,69,107,70,116,47,63,86,0.27695461812460986,Medium,Casual,Red,0.31579564450825115,0.20836078907485733,S,Casual
28,59,Male,159,47,120,80,108,37,67,84,0.06579821779523898,Medium,Casual,Red,0.5938737676678615,0.461770366396279,XXL,Casual
29,45,Other,179,116,105,103,82,35,64,85,0.7059852660508185,Low,Casual,Red,0.6455114854786993,0.9103463463086553,M,Casual
30,33,Other,199,88,116,64,94,38,59,84,0.23820943547561613,High,Formal,Blue,0.39635617196747486,0.3267410624773712,S,Formal
31,32,Male,167,86,110,82,115,59,73,103,0.3886747506709505,High,Sporty,White,0.07783915311051404,0.49873036509193147,L,Sporty
32,20,Male,166,50,74,100,126,47,56,80,0.44370144702966785,Low,Formal,Red,0.3736346520927243,0.9585653346436968,M,Formal
33,54,Other,175,83,82,118,125,51,57,70,0.8913139356064557,Low,Traditional,Black,0.6887675159591515,0.7347080055736976,L,Traditional
34,24,Female,157,96,92,84,131,45,77,84,0.4113302903312368,Low,Formal,Blue,0.6709954611303159,0.747740385641692,XL,Formal
35,38,Male,196,67,127,100,98,36,52,95,0.14522501991524905,Medium,Casual,Black,0.16019641320544276,0.2523340044132276,XS,Casual
36,26,Other,189,94,119,113,92,59,64,73,0.524314938340121,Low,Formal,White,0.007783970268967155,0.41469811830512815,L,Formal
37,56,Female,198,87,99,69,121,50,65,74,0.9629579946486296,Low,Casual,Green,0.7529816172961168,0.08234216309672171,XL,Casual
38,35,Male,161,63,106,81,100,36,53,104,0.607685641050811,High,Sporty,Black,0.10636816638524371,0.6065258670505337,S,Sporty
39,21,Female,176,113,94,78,116,53,70,82,0.9833872204605726,Low,Formal,Green,0.0823491439642855,0.10373016454249417,L,Formal
40,42,Other,157,95,117,60,106,57,55,79,0.8411073089388701,High,Formal,Blue,0.002701216834163467,0.8359095822059548,XL,Formal
41,31,Male,174,55,96,66,134,53,50,80,0.0359657562134128,High,Formal,Black,0.43260132595692724,0.8145537870199968,XS,Formal
42,26,Female,195,56,120,63,131,59,53,87,0.6583995953770418,Medium,Casual,Black,0.5032639009008144,0.5336051011223095,L,Casual
43,43,Male,153,118,83,60,108,50,60,103,0.28676687755788366,Low,Casual,Blue,0.6376640461485906,0.1411660331970297,XXL,Casual
44,19,Female,182,52,126,74,99,56,61,108,0.5596168556447239,Low,Formal,Blue,0.29606384071258585,0.02557898319516816,XL,Formal
45,37,Other,150,68,117,99,104,53,75,92,0.27934519093122656,High,Formal,Red,0.71042471638678,0.7967086675425724,L,Formal
46,45,Other,168,85,128,71,85,43,78,76,0.3488704166052904,Medium,Sporty,White,0.16933185740694157,0.6001404832134268,XS,Sporty
47,24,Male,180,80,116,81,115,35,54,108,0.9231687117541794,Medium,Sporty,Black,0.8319900531103473,0.7109296367478833,L,Sporty
48,25,Female,165,116,123,81,81,44,72,72,0.2066431848917053,Low,Traditional,Black,0.5718483288904456,0.3038071257363676,L,Traditional
49,52,Male,163,99,105,109,101,53,78,81,0.8741091180258305,High,Sporty,Blue,0.5838898233720484,0.5094827378439145,XXL,Sporty
50,31,Male,197,53,108,106,111,35,70,76,0.030457808070496806,Low,Sporty,Blue,0.20977541377910813,0.7471741705396504,XL,Sporty
51,34,Female,154,91,85,76,95,36,65,95,0.09087653836964837,Low,Sporty,White,0.07410874930038824,0.46256330831379955,M,Sporty
52,53,Female,190,59,125,88,97,50,62,102,0.8546750413842635,Low,Casual,Blue,0.46472480308067143,0.6013842227687309,L,Casual
53,57,Female,175,92,91,105,84,46,62,106,0.6305560309091953,Low,Sporty,Green,0.615611951922359,0.7897282618079623,M,Sporty
54,21,Other,177,86,90,73,133,42,66,84,0.7472361380395502,High,Sporty,Green,0.0950464586616856,0.21522064526637885,S,Sporty
55,19,Male,151,104,123,109,115,57,76,71,0.20941767082185425,Medium,Formal,Green,0.9505344745281666,0.06592888935748231,L,Formal
56,23,Male,199,114,90,79,109,52,56,76,0.5370834555901035,Low,Casual,Green,0.9804143602328068,0.5318235108108051,M,Casual
57,59,Other,155,56,77,109,124,36,57,101,0.7372192235713048,Low,Traditional,White,0.545456695392492,0.06212577072009573,S,Traditional
58,21,Female,158,46,118,107,98,59,62,73,0.6273141370102625,Low,Traditional,Black,0.9500691552734062,0.7665572943667532,XXL,Traditional
59,46,Other,182,51,85,92,102,47,72,89,0.4716987668912095,Low,Sporty,Green,0.17944523758085307,0.7192114476337886,XL,Sporty
60,35,Other,190,47,128,114,113,40,76,105,0.9597837864377148,Medium,Traditional,Blue,0.025420685179524893,0.881712671465297,L,Traditional
61,43,Other,174,47,124,118,92,55,65,101,0.6761573334534453,Medium,Traditional,Green,0.03940953529038993,0.6395620980339606,XL,Traditional
62,51,Male,197,71,100,102,122,40,79,97,0.9077508002412379,Medium,Traditional,White,0.5875124794267791,0.06719757075237376,S,Traditional
63,27,Other,162,84,111,74,133,43,78,82,0.7297705115736812,Medium,Sporty,Blue,0.06164188343682353,0.2531521254896174,XL,Sporty
64,53,Male,158,77,79,71,108,50,53,70,0.7354635285976832,Low,Traditional,Green,0.9585456068240871,0.8079318445627193,XL,Traditional
65,31,Male,162,45,101,99,115,45,57,104,0.08001826975767934,High,Sporty,Black,0.14193321075939858,0.16713241731358774,XS,Sporty
66,48,Male,180,52,128,113,101,41,65,99,0.35946462185394357,Medium,Formal,Blue,0.30472280605297863,0.6984804678148874,S,Formal
67,32,Female,190,76,103,79,131,44,70,105,0.8583694067196584,Medium,Formal,Blue,0.8225178019983485,0.780259330920478,XL,Formal
68,25,Male,160,92,78,89,131,44,59,94,0.23260386214875595,Low,Traditional,Black,0.21874032310409308,0.33011179785524114,M,Traditional
69,31,Male,153,48,86,97,126,59,74,85,0.11550586615646619,Low,Formal,Blue,0.2429684584545706,0.3222974734029085,S,Formal
70,40,Female,183,114,80,62,115,54,61,88,0.32610605663879344,Low,Sporty,Green,0.6423089557910182,0.5578026812091469,XS,Sporty
71,57,Male,187,63,101,87,88,52,61,70,0.22043788489261396,Low,Formal,Blue,0.2760860884892623,0.8612863327547637,L,Formal
72,38,Other,195,76,79,115,118,58,75,74,0.9252881947931552,High,Traditional,Green,0.21744763400770029,0.22390620191348054,XXL,Traditional
73,33,Other,153,53,91,85,130,54,54,91,0.8679666420021311,High,Sporty,Black,0.2541777143056575,0.9412581960424027,XL,Sporty
74,35,Male,187,56,126,89,98,43,65,93,0.4996832302829042,Medium,Casual,Red,0.4906474993407268,0.5991186848201082,M,Casual
75,41,Female,168,55,86,72,117,49,50,106,0.06134387448386802,High,Sporty,Black,0.9660998727314821,0.9921264713522762,XS,Sporty
76,43,Other,155,90,73,72,85,38,77,105,0.7145623460931563,Medium,Formal,Green,0.8322379415612283,0.08961372399532264,S,Formal
77,42,Female,183,60,117,61,131,42,58,105,0.6234117313362646,Medium,Casual,White,0.28461026456017713,0.12656213650675907,XXL,Casual
78,58,Female,167,45,121,96,126,43,61,73,0.9705546707284959,High,Sporty,Black,0.36337320849809773,0.8266418037134827,XXL,Sporty
79,46,Other,162,107,116,108,94,47,54,105,0.558953240270377,Medium,Casual,White,0.4645122505040774,0.8647558956038492,XL,Casual
80,32,Female,190,65,94,97,136,43,71,87,0.3363937234029094,Low,Casual,White,0.9789296470169904,0.44545868837093394,XS,Casual
81,18,Other,172,74,128,61,99,38,69,85,0.5190216935785558,Medium,Casual,Green,0.1723904683357157,0.714071176142335,XS,Casual
82,42,Female,168,57,90,95,88,51,71,87,0.9792632914045163,Low,Sporty,Green,0.35748310349188284,0.8675572874455385,M,Sporty
83,24,Other,194,78,106,113,111,50,77,91,0.6963624325330305,High,Formal,Red,0.729426093982715,0.04312778821882868,L,Formal
